doc_id,page_number,table_index,site_name,json_latitude,json_longitude,water_year,month,month_num,max_discharge_cfs,min_discharge_cfs,mean_discharge_cfs,total_runoff_acre_ft,discharge_unit,quality_flag,notes,watersource_name,actual_latitude,actual_longitude,inferred_latitude,inferred_longitude,temporal_resolution,dates_of_recording,units_of_measurement
3217,210,1,"Santa Paula Creek below Sisar Creek, near Santa Paula, Calif.",34.4264,-119.0875,1912,April,7,,,42.8,,cfs,,,Santa Paula Creek below Sisar Creek,34.392778,-119.087222,,,Monthly and yearly,1912-1913,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,1,"Santa Paula Creek below Sisar Creek, near Santa Paula, Calif.",34.4264,-119.0875,1912,May,8,,,16.1,,cfs,,,Santa Paula Creek below Sisar Creek,34.392778,-119.087222,,,Monthly and yearly,1912-1913,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,1,"Santa Paula Creek below Sisar Creek, near Santa Paula, Calif.",34.4264,-119.0875,1912,June,9,,,8.50,,cfs,,,Santa Paula Creek below Sisar Creek,34.392778,-119.087222,,,Monthly and yearly,1912-1913,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,1,"Santa Paula Creek below Sisar Creek, near Santa Paula, Calif.",34.4264,-119.0875,1912,July,10,,,5.40,,cfs,,,Santa Paula Creek below Sisar Creek,34.392778,-119.087222,,,Monthly and yearly,1912-1913,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,1,"Santa Paula Creek below Sisar Creek, near Santa Paula, Calif.",34.4264,-119.0875,1912,August,11,,,3.50,,cfs,,,Santa Paula Creek below Sisar Creek,34.392778,-119.087222,,,Monthly and yearly,1912-1913,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,1,"Santa Paula Creek below Sisar Creek, near Santa Paula, Calif.",34.4264,-119.0875,1912,September,12,,,3.20,,cfs,,,Santa Paula Creek below Sisar Creek,34.392778,-119.087222,,,Monthly and yearly,1912-1913,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,1,"Santa Paula Creek below Sisar Creek, near Santa Paula, Calif.",34.4264,-119.0875,1913,October,1,,,2.44,,cfs,,,Santa Paula Creek below Sisar Creek,34.392778,-119.087222,,,Monthly and yearly,1912-1913,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,1,"Santa Paula Creek below Sisar Creek, near Santa Paula, Calif.",34.4264,-119.0875,1913,November,2,,,2.52,,cfs,,,Santa Paula Creek below Sisar Creek,34.392778,-119.087222,,,Monthly and yearly,1912-1913,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,1,"Santa Paula Creek below Sisar Creek, near Santa Paula, Calif.",34.4264,-119.0875,1913,December,3,,,2.53,,cfs,,,Santa Paula Creek below Sisar Creek,34.392778,-119.087222,,,Monthly and yearly,1912-1913,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,1,"Santa Paula Creek below Sisar Creek, near Santa Paula, Calif.",34.4264,-119.0875,1913,January,4,,,13.4,,cfs,,,Santa Paula Creek below Sisar Creek,34.392778,-119.087222,,,Monthly and yearly,1912-1913,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,1,"Santa Paula Creek below Sisar Creek, near Santa Paula, Calif.",34.4264,-119.0875,1913,February,5,,,98.1,,cfs,,"OCR ""98,1"" interpreted as 98.1",Santa Paula Creek below Sisar Creek,34.392778,-119.087222,,,Monthly and yearly,1912-1913,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
