agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,parm_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu,county_name,county_fips
USGS,11386500,GRINDSTONE C NR ELK CREEK CA,ST,39.67710115,-122.531939,F,NAD83,,,,18020115,qw,70345,,0,,wat,SED,17164666,0,1968-04-01,1972-03-02,16,Glenn,06021
USGS,11386500,GRINDSTONE C NR ELK CREEK CA,ST,39.67710115,-122.531939,F,NAD83,,,,18020115,qw,70346,,0,,wat,SED,17164666,0,1968-04-01,1972-03-02,13,Glenn,06021
USGS,11386500,GRINDSTONE C NR ELK CREEK CA,ST,39.67710115,-122.531939,F,NAD83,,,,18020115,qw,70347,,0,,wat,SED,17164666,0,1969-01-22,1969-12-19,3,Glenn,06021
USGS,11386500,GRINDSTONE C NR ELK CREEK CA,ST,39.67710115,-122.531939,F,NAD83,,,,18020115,qw,80154,,0,,wat,SED,17164666,0,1967-09-27,1972-09-06,86,Glenn,06021
USGS,11386500,GRINDSTONE C NR ELK CREEK CA,ST,39.67710115,-122.531939,F,NAD83,,,,18020115,qw,80155,,0,,wat,SED,17164591,0,1967-09-27,1972-09-06,86,Glenn,06021
USGS,11386500,GRINDSTONE C NR ELK CREEK CA,ST,39.67710115,-122.531939,F,NAD83,,,,18020115,qw,80165,,0,,wat,SED,17136284,0,1968-02-19,1968-02-20,4,Glenn,06021
USGS,11386500,GRINDSTONE C NR ELK CREEK CA,ST,39.67710115,-122.531939,F,NAD83,,,,18020115,qw,80166,,0,,wat,SED,17136284,0,1968-02-19,1968-02-20,19,Glenn,06021
USGS,11386500,GRINDSTONE C NR ELK CREEK CA,ST,39.67710115,-122.531939,F,NAD83,,,,18020115,qw,80167,,0,,wat,SED,17136284,0,1968-02-19,1968-02-20,20,Glenn,06021
USGS,11386500,GRINDSTONE C NR ELK CREEK CA,ST,39.67710115,-122.531939,F,NAD83,,,,18020115,qw,80168,,0,,wat,SED,17136284,0,1968-02-19,1968-02-20,20,Glenn,06021
USGS,11386500,GRINDSTONE C NR ELK CREEK CA,ST,39.67710115,-122.531939,F,NAD83,,,,18020115,qw,80169,,0,,wat,SED,17136284,0,1968-02-19,1968-02-20,20,Glenn,06021
USGS,11386500,GRINDSTONE C NR ELK CREEK CA,ST,39.67710115,-122.531939,F,NAD83,,,,18020115,qw,80170,,0,,wat,SED,17136284,0,1968-02-19,1968-02-20,20,Glenn,06021
USGS,11386500,GRINDSTONE C NR ELK CREEK CA,ST,39.67710115,-122.531939,F,NAD83,,,,18020115,qw,80171,,0,,wat,SED,17136284,0,1968-02-19,1968-02-20,20,Glenn,06021
USGS,11386500,GRINDSTONE C NR ELK CREEK CA,ST,39.67710115,-122.531939,F,NAD83,,,,18020115,qw,80172,,0,,wat,SED,17136284,0,1968-02-19,1968-02-20,19,Glenn,06021
USGS,11386500,GRINDSTONE C NR ELK CREEK CA,ST,39.67710115,-122.531939,F,NAD83,,,,18020115,qw,80173,,0,,wat,SED,17136284,0,1968-02-19,1968-02-20,17,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,dv,00010,00001,10335,,wat,,1645597,0,1970-12-01,1978-10-05,2384,Glenn,06021
