URL,Publication ID,Index ID,Publication type,Publication Subtype,Display title,Title,Series title,Series number,Subseries,Chapter,Sub-chapter,ISSN (online),ISSN (print),ISBN,DOI,Edition,Volume,Issue,Year Published,No Year Published,Language,Publisher,Publisher location,Contributing office(s),Description,Larger Work Type,Larger Work Subtype,Larger Work Title,First page,Last page,Number of Pages,Public Comments,Time Range Start,Time Range End,Conference Title,Conference Location,Conference Date,Country,State,County,City,Other Geospatial,Datum,Projection,Scale,Online Only (Y/N),Additional Online Files(Y/N),Author(s),Editor(s),Compiler(s),Number of Links,ScienceBase URI,CHORUS DOI,CHORUS URL,CHORUS Publisher,CHORUS Authors,CHORUS Journal Name,CHORUS Publication Date,CHORUS Audited On,CHORUS Publicly Accessible Date
https://pubs.usgs.gov/publication/ofr6642,52539,ofr6642,Report,USGS Numbered Series,,"Hydrologic inventory of the Lompoc subarea, Santa Ynez River basin, Santa Barbara County, California, 1957-62",Open-File Report,66-42,,,,2331-1258,0196-1497,,10.3133/ofr6642,,,,1966,false,English,U.S. Geological Survey,,,"Report: iv, 27 p.; 1 Plate: 30.86 × 18.94 inches",,,,,,,,,,,,,United States,California,Santa Barbara County,,Santa Ynez River basin,,,,,,"Evenson, R. E.",,,3,4f4e4b15e4b07f02db6a498c,,,,,,,,
https://pubs.usgs.gov/publication/ofr66116,42915,ofr66116,Report,USGS Numbered Series,,"Progress report on investigation of the water resources of the North Vandenberg area, Vandenberg Air Force Base, Santa Barbara County, California",Open-File Report,66-116,,,,2331-1258,0196-1497,,10.3133/ofr66116,-,,,1966,false,ENGLISH,,,,37 p.,,,,,,,,,,,,,,,,,,,,,,,"Robson, S. G.; Glessner, F.W.",,,3,4f4e4a9be4b07f02db65debb,,,,,,,,
https://pubs.usgs.gov/publication/34360,34360,34360,Report,USGS Unnumbered Series,,"Hydrologic inventory of the Lompoc subarea, Santa Ynez River Basin, Santa Barbara County, California, 1957-62",Open-File Report,,,,,,,,10.3133/34360,,,,1966,false,English,U.S. Geological Survey,"Sacramento, CA",,"iv, 27 p.",,,,,,31,,,,,,,United States,California,,Santa Barbara,Santa Ynez,,,,,,"Evenson, Robert Edward; Worts, George Frank",,,0,53c0ec4ae4b065ccca5fe3e2,,,,,,,,
https://pubs.usgs.gov/publication/wsp1809S,1328,wsp1809S,Report,USGS Numbered Series,,"Suitability of irrigation water and changes in ground-water quality in the Lompoc subarea of the Santa Ynez River Basin, Santa Barbara County, California",Water Supply Paper,1809,,S,,,,,10.3133/wsp1809S,-,,,1965,false,ENGLISH,"U.S. G.P.O.,",,,"iii, 20 p. :ill., maps ;24 cm.",,,,,,,,,,,,,,,,,,,,,N,N,"Evenson, R. E.",,,4,4f4e4b05e4b07f02db6998a2,,,,,,,,
https://pubs.usgs.gov/publication/ofr64117,23993,ofr64117,Report,USGS Numbered Series,,"Water levels in observation wells in Santa Barbara County, California, 1963",Open-File Report,64-117,,,,2331-1258,0196-1497,,10.3133/ofr64117,-,,,1964,false,ENGLISH,"U.S. Dept. of the Interior, Geological Survey, Water Resources Division,",,,"30 p., 11 figs., 1 v. (various pagings) :ill., maps ;27 cm.",,,,,,,,,,,,,,,,,,,,,,,"Muir, K. S.",,,0,4f4e4a08e4b07f02db5f9db5,,,,,,,,
https://pubs.usgs.gov/publication/wsp1664,2344,wsp1664,Report,USGS Numbered Series,,"Geology and ground water of San Antonio Creek Valley, Santa Barbara County, California",Water Supply Paper,1664,,,,,,,10.3133/wsp1664,-,,,1964,false,ENGLISH,"U.S. Govt. Print. Off.,",,,"v, 53 p. :maps (2 col.) diagrs., tables. ;24 cm.",,,,,,,,,,,,,,,,,,,,,,,"Muir, K. S.",,,5,4f4e4adce4b07f02db686294,,,,,,,,
https://pubs.usgs.gov/publication/ofr6452,52397,ofr6452,Report,USGS Numbered Series,,"Results of test drilling, Naval Missile Facility, Point Arguello, Santa Barbara County, California, 1962-63",Open-File Report,64-52,,,,2331-1258,0196-1497,,10.3133/ofr6452,-,,,1964,false,ENGLISH,,,,18 p.,,,,,,,,,,,,,,,,,,,,,,,"Evenson, R. E.",,,0,4f4e4a19e4b07f02db6055b9,,,,,,,,
https://pubs.usgs.gov/publication/wsp1619F,1325,wsp1619F,Report,USGS Numbered Series,,"Geology and ground-water features of Point Arguello Naval Missile Facility, Santa Barbara County, California",Water Supply Paper,1619,,F,,,,,10.3133/wsp1619F,-,,,1963,false,ENGLISH,"U.S. G.P.O.,",,,"iv, 35 p. :ill., maps ;24 cm.",,,,,,,,,,,,,,,,,,,,,,,"Evenson, R. E.; Miller, G.A.",,,3,4f4e4adbe4b07f02db685fb1,,,,,,,,
https://pubs.usgs.gov/publication/ofr63103,23997,ofr63103,Report,USGS Numbered Series,,"Water levels in observation wells in Santa Barbara County, California, in 1962",Open-File Report,63-103,,,,2331-1258,0196-1497,,10.3133/ofr63103,-,,,1963,false,ENGLISH,"U.S. Geological Survey, Ground Water Branch,",,,"55 p. ill., maps ;27 cm.",,,,,,,,,,,,,,,,,,,,,,,"Muir, K. S.",,,0,4f4e4a08e4b07f02db5f9d66,,,,,,,,
https://pubs.usgs.gov/publication/ofr6245,52241,ofr6245,Report,USGS Numbered Series,,"Yield of the Carpinteria and Goleta ground-water basins, Santa Barbara County, California, 1941-58",Open-File Report,62-45,,,,2331-1258,0196-1497,,10.3133/ofr6245,-,,,1962,false,ENGLISH,,,,137 p.,,,,,,,,,,,,,,,,,,,,,,,"Evenson, R. E.; Wilson, H.B. Jr.; Muir, K. S.",,,0,4f4e49d6e4b07f02db5de438,,,,,,,,
