water_type_final,county_spatial,n_tables,n_measurements
Not Water Related,Sierra,1,60.0
Not Water Related,Sonoma,1,30.0
Not Water Related,Yolo,1,26.0
Other,Lake,17,441.0
Other,Marin,16,203.0
Other,Placer,16,395.0
Other,Inyo,13,147.0
Other,Amador,9,143.0
Other,Los Angeles,9,206.0
Other,Stanislaus,9,207.0
Other,El Dorado,8,223.0
Other,Fresno,8,199.0
Other,San Joaquin,7,264.0
Other,Sonoma,7,176.0
Other,Nevada,6,152.0
Other,Siskiyou,6,195.0
Other,Butte,5,150.0
Other,San Francisco,5,59.0
Other,Alameda,4,50.0
Other,Imperial,4,185.0
Other,Riverside,4,90.0
Other,San Bernardino,4,127.0
Other,Tulare,4,116.0
Other,Kings,3,86.0
Other,Orange,3,83.0
Other,Sacramento,3,119.0
Other,San Diego,3,103.0
Other,Tuolumne,3,118.0
Other,Del Norte,2,28.0
Other,Kern,2,53.0
Other,Mariposa,2,42.0
Other,Mendocino,2,106.0
Other,Mono,2,39.0
Other,San Mateo,2,56.0
Other,Santa Barbara,2,39.0
Other,Sierra,2,44.0
Other,Solano,2,26.0
Other,Madera,1,36.0
Other,Santa Clara,1,30.0
Other,Santa Cruz,1,15.0
Other,Tehama,1,3.0
Other,Yuba,1,83.0
Precipitation,San Diego,51,760.0
Precipitation,Santa Barbara,36,551.0
Precipitation,San Bernardino,26,581.0
Precipitation,Los Angeles,24,655.0
Precipitation,Fresno,22,586.0
Precipitation,Riverside,22,506.0
Precipitation,Siskiyou,14,236.0
Precipitation,Inyo,13,257.0
Precipitation,Humboldt,11,233.0
Precipitation,Imperial,10,179.0
Precipitation,Kern,10,246.0
Precipitation,Sonoma,10,219.0
Precipitation,Lake,9,128.0
Precipitation,Mariposa,9,144.0
Precipitation,Del Norte,7,162.0
Precipitation,Napa,7,147.0
Precipitation,Sacramento,7,85.0
Precipitation,San Mateo,6,123.0
Precipitation,Solano,6,120.0
Precipitation,Tuolumne,6,172.0
Precipitation,Yolo,6,179.0
Precipitation,Alpine,5,83.0
Precipitation,Mono,5,62.0
Precipitation,Nevada,5,110.0
Precipitation,Placer,5,97.0
Precipitation,San Francisco,5,151.0
Precipitation,Santa Clara,5,162.0
Precipitation,Alameda,4,109.0
Precipitation,Modoc,4,30.0
Precipitation,San Joaquin,4,108.0
Precipitation,Glenn,3,15.0
Precipitation,Madera,3,73.0
Precipitation,Mendocino,3,26.0
Precipitation,Merced,3,61.0
