site_no,station_name,latitude,longitude,start_year,end_year,total_measurements
342404119291201,004N025W27F002S,34.4011058,-119.4876215,1975.0,2001.0,225
342406119290601,004N025W27G003S,34.40166138,-119.4859548,1938.0,1949.0,17
342407119291801,004N025W27F001S,34.4022169,-119.4903994,1934.0,2000.0,115
342407119295801,004N025W28G002S,34.40193906,-119.5003998,1938.0,1954.0,2
342407119302201,004N025W28F008S,34.40193914,-119.5070669,1977.0,1992.0,151
342407119302202,004N025W28F009S,34.40193914,-119.5070669,1977.0,1992.0,153
342407119302203,004N025W28F010S,34.40193914,-119.5070669,1977.0,1992.0,154
342408119290501,004N025W27G002S,34.4022169,-119.485677,1949.0,1959.0,4
342409119275001,004N025W26B001S,34.40249484,-119.4648427,1944.0,1993.0,40
342409119302101,004N025W28F007S,34.4023611,-119.507111,1976.0,2001.0,251
342413119275701,004N025W26B002S,34.4036059,-119.4667873,1948.0,1948.0,1
342414119274201,004N025W26A001S,34.4038837,-119.4626205,1941.0,2001.0,511
342414119274202,004N025W26A002S,34.4038837,-119.4626205,1932.0,1941.0,27
342414119280101,004N025W26B003S,34.40388367,-119.4678985,1948.0,1959.0,4
342414119280301,004N025W26C002S,34.40388366,-119.468454,1946.0,1978.0,215
342414119280801,004N025W26C001S,34.40388365,-119.469843,1949.0,2001.0,99
342414119300701,004N025W28B001S,34.40388348,-119.5029,1941.0,1956.0,3
342414119305401,004N025W29A002S,34.40388367,-119.5159564,1941.0,1946.0,2
342416119285801,004N025W27B001S,34.4044391,-119.4837325,1938.0,1980.0,33
342417119312701,004N025W29C001S,34.4047171,-119.5251236,1936.0,1959.0,2
342418119280901,004N025W26C007S,34.40499473,-119.4701208,1949.0,1949.0,2
342418119281201,004N025W26C008S,34.4049947,-119.4709542,1947.0,1949.0,2
342418119285501,004N025W27B002S,34.40499465,-119.4828991,1946.0,1959.0,7
342418119313801,004N025W29D004S,34.40499494,-119.5281794,1946.0,1946.0,1
342418119313901,004N025W29D003S,34.40499494,-119.5284571,1937.0,1945.0,3
342418119314601,004N025W29D001S,34.40499497,-119.5304017,1938.0,2001.0,679
342419119323701,004N025W30D001S,34.40527295,-119.5445692,1941.0,2001.0,488
342420119280601,004N025W26C006S,34.40555028,-119.4692874,1949.0,2001.0,78
342420119313801,004N025W29D007S,34.40555048,-119.5281794,1977.0,2001.0,251
342421119280601,004N025W26C009S,34.40582805,-119.4692874,1947.0,1949.0,2
342421119281101,004N025W26C003S,34.40582804,-119.4706764,1945.0,1955.0,6
342421119303901,004N025W28D001S,34.405828,-119.5117895,1946.0,1989.0,9
342421119324601,004N025W30D005S,34.4058285,-119.5470694,1949.0,1949.0,1
342422119281001,004N025W26C004S,34.4061058,-119.4703986,1947.0,1949.0,2
342422119281201,004N025W26C005S,34.4061058,-119.4709542,1949.0,1955.0,5
342422119303701,004N025W28D002S,34.40610578,-119.5112339,1990.0,2001.0,123
342422119311001,004N025W29B001S,34.4061059,-119.5204011,1941.0,1956.0,8
342422119314101,004N025W29D002S,34.40610604,-119.5290128,1924.0,1946.0,6
342422119320401,004N025W30B001S,34.4061061,-119.535402,1941.0,1950.0,32
342422119320403,004N025W30B003S,34.4061061,-119.535402,1941.0,1950.0,31
342423119304801,004N025W29A001S,34.40638359,-119.5142896,1930.0,1956.0,36
342423119305001,004N025W29A003S,34.4063836,-119.5148452,1941.0,1956.0,102
342423119320902,004N025W30B005S,34.4063839,-119.536791,1941.0,1949.0,3
342423119324901,004N025W30D003S,34.40638409,-119.5479028,1949.0,1949.0,1
342423119324902,004N025W30D004S,34.40638409,-119.5479028,1949.0,1949.0,1
342424119324201,004N025W30D002S,34.4066618,-119.5459583,1949.0,1960.0,112
342425119303301,004N025W21N002S,34.40693908,-119.5101227,1938.0,1947.0,75
342425119303302,004N025W21N004S,34.40693908,-119.5101227,1949.0,2001.0,215
342425119314301,004N025W29D005S,34.40693936,-119.5295684,1949.0,1956.0,4
342426119285101,004N025W22R002S,34.4072168,-119.481788,1931.0,1950.0,5
342426119325601,004N026W24R001S,34.4072174,-119.5498474,1941.0,1941.0,2
342427119280001,004N025W23Q001S,34.40749468,-119.4676207,1949.0,1950.0,3
342427119281701,004N025W23P001S,34.40749466,-119.4723432,1945.0,2001.0,281
342427119294601,004N025W21R001S,34.4074945,-119.4970665,1941.0,2001.0,584
342428119304201,004N025W21N001S,34.4077724,-119.5126229,1936.0,2001.0,246
342428119321301,004N025W19Q001S,34.4077728,-119.5379022,1946.0,1946.0,1
342429119284901,004N025W22R001S,34.40805014,-119.4812324,1941.0,1977.0,189
342429119294601,004N025W21R002S,34.40805005,-119.4970665,1941.0,1959.0,37
342429119315901,004N025W19R001S,34.4080505,-119.534013,1941.0,1950.0,6
342429119445302,004N027W19P001S,34.40805368,-119.7490263,1949.0,1949.0,2
342430119284701,004N025W22R004S,34.4083279,-119.4806769,1949.0,2001.0,215
342430119284901,004N025W22R003S,34.4083279,-119.4812325,1948.0,2001.0,227
