site_no,start_year,end_year,total_measurements,year_span,decade_start,decade_end,decade
11119500,1940,1979,509,40,1940,1970,1940
11120500,1941,1979,1015,39,1940,1970,1940
11123500,1952,1979,28,28,1950,1970,1950
11132500,1952,1978,27,27,1950,1970,1950
11138500,1952,1979,53,28,1950,1970,1950
11124500,1954,1978,19,25,1950,1970,1950
11128500,1958,1979,26,22,1950,1970,1950
11133000,1958,1979,40,22,1950,1970,1950
11136100,1958,1979,12,22,1950,1970,1950
11136650,1962,1969,4,8,1960,1960,1960
11140000,1962,1979,69,18,1960,1970,1960
11120000,1968,1979,16,12,1960,1970,1960
11120530,1971,1972,8,2,1970,1970,1970
11134800,1971,1978,10,8,1970,1970,1970
11119750,1972,1979,57,8,1970,1970,1970
11119940,1972,1979,10,8,1970,1970,1970
11120510,1973,1979,32,7,1970,1970,1970
11123000,1973,1975,2,3,1970,1970,1970
11140600,1976,1978,4,3,1970,1970,1970
11119780,1978,1978,2,1,1970,1970,1970
11135800,1978,1979,5,2,1970,1970,1970
