site_index,site_id,station_name,data_type,start_year,end_year,year_start,year_end,decade_start,decade_end,decade,closest_stream_order,distance_to_stream_km,longitude,latitude
651,,Unknown,Historical,1906,1912,1906,1912,1900,1910,1900,2,1.1937111340657158,-120.4641,34.6493
652,,Unknown,Historical,1954,1956,1954,1956,1950,1950,1950,2,0.063254386,-119.9111111,34.5527778
653,,Unknown,Historical,1906,1913,1906,1913,1900,1910,1900,5,1.023242266605517,-120.445,34.65
654,,Unknown,Historical,1948,1954,1948,1954,1940,1950,1940,2,0.15176633253449098,-119.880556,34.544444
655,,Unknown,Historical,1957,1962,1957,1962,1950,1960,1950,5,0.8957186924602137,-120.46,34.66
656,,Unknown,Historical,1964,1965,1964,1965,1960,1960,1960,5,0.026531604,-120.4275,34.6391667
657,,Unknown,Historical,1913,1913,1913,1913,1910,1910,1910,2,0.7444271324379199,-120.468,34.656
658,,Unknown,Historical,1928,1958,1928,1958,1920,1950,1920,5,0.063919241,-120.143056,34.584722
659,,Unknown,Historical,1946,1960,1946,1960,1940,1960,1940,5,0.034942317,-120.456944,34.668333
660,,Unknown,Historical,1947,1964,1947,1964,1940,1960,1940,5,0.009285504,-119.863889,34.543611
661,,Unknown,Historical,1975,1976,1975,1976,1970,1970,1970,5,0.049652367007928876,-120.4255556,34.6377778
662,,Unknown,Historical,1953,1954,1953,1954,1950,1950,1950,2,0.22326700940813576,-119.88056,34.54167
663,,Unknown,Historical,1945,1967,1945,1967,1940,1960,1940,1,0.47915603017979813,-120.1667,34.5833
664,,Unknown,Historical,1947,1950,1947,1950,1940,1950,1940,5,0.081994727,-120.455556,34.669444
665,,Unknown,Historical,1940,1946,1940,1946,1940,1940,1940,5,0.001247773,-120.491667,34.672222
666,,Unknown,Historical,1955,1956,1955,1956,1950,1950,1950,5,0.030936888552751153,-120.425,34.6375
667,,Unknown,Historical,1911,1912,1911,1912,1910,1910,1910,1,0.3364308028774486,-120.173,34.6798
672,,Unknown,Historical,1903,1943,1903,1943,1900,1940,1900,5,0.1106366298971605,-120.0853,34.5799
673,,Unknown,Historical,1967,1968,1967,1968,1960,1960,1960,5,0.034248069114797684,-120.474722,34.668333
674,,Unknown,Historical,1963,1964,1963,1964,1960,1960,1960,5,0.035843996586187296,-120.4326,34.6447
675,,Unknown,Historical,1964,1965,1964,1965,1960,1960,1960,5,0.035843996586187296,-120.4326,34.6447
676,,Unknown,Historical,1967,1968,1967,1968,1960,1960,1960,5,0.166911136,-119.9963889,34.5916667
677,,Unknown,Historical,1954,1956,1954,1956,1950,1950,1950,5,0.049620199,-120.3041667,34.60972222
678,,Unknown,Historical,1948,1949,1948,1949,1940,1940,1940,5,0.051329432,-119.8625,34.54278
679,,Unknown,Historical,1917,1917,1917,1917,1910,1910,1910,5,1.900214939126563,-120.455,34.651
680,,Unknown,Historical,1947,1954,1947,1954,1940,1950,1940,5,0.081994727,-120.455556,34.669444
682,,Unknown,Historical,1957,1958,1957,1958,1950,1950,1950,5,0.030936888552751153,-120.425,34.6375
