file_path,score
images/1553_page_1.png,"[{'label': 'table', 'score': 0.9971771240234375, 'bbox': [71.44269561767578, 331.379150390625, 1401.2340087890625, 1347.2469482421875]}, {'label': 'table', 'score': 0.9971081614494324, 'bbox': [66.35676574707031, 1593.84521484375, 1380.8299560546875, 2061.28076171875]}]"
images/1312_page_1.png,"[{'label': 'table', 'score': 0.6188473701477051, 'bbox': [332.88922119140625, 1001.1238403320312, 1558.4178466796875, 1680.871337890625]}]"
images/366_page_1.png,"[{'label': 'table', 'score': 0.5460841655731201, 'bbox': [217.5397186279297, 971.555908203125, 1537.1060791015625, 1426.0208740234375]}]"
images/1166_page_1.png,"[{'label': 'table', 'score': 0.8278341889381409, 'bbox': [204.2238006591797, 856.6835327148438, 1513.5789794921875, 985.3712768554688]}]"
images/24284_page_1.png,"[{'label': 'table', 'score': 0.9981607794761658, 'bbox': [357.2876281738281, 446.10040283203125, 2186.293212890625, 2444.568603515625]}]"
images/23423_page_1.png,"[{'label': 'table', 'score': 0.9997466206550598, 'bbox': [457.8844909667969, 649.6902465820312, 2186.25390625, 2919.901611328125]}]"
images/23423_page_3.png,"[{'label': 'table', 'score': 0.9995444416999817, 'bbox': [458.3439636230469, 476.0606384277344, 2192.71240234375, 3025.706787109375]}]"
images/24284_page_2.png,"[{'label': 'table', 'score': 0.9998255372047424, 'bbox': [101.01165771484375, 449.8439025878906, 2991.952392578125, 2399.974609375]}]"
images/23423_page_2.png,"[{'label': 'table', 'score': 0.999444305896759, 'bbox': [413.671630859375, 473.6457214355469, 2164.159423828125, 3066.033447265625]}]"
images/23995_page_1.png,"[{'label': 'table', 'score': 0.9565565586090088, 'bbox': [92.68228912353516, 2360.013671875, 1952.759521484375, 2549.37109375]}, {'label': 'table', 'score': 0.9673795104026794, 'bbox': [77.1905517578125, 570.5834350585938, 1955.3702392578125, 880.7990112304688]}]"
images/1258_page_1.png,"[{'label': 'table', 'score': 0.9981087446212769, 'bbox': [144.0459442138672, 924.8294677734375, 1472.9862060546875, 1442.83251953125]}, {'label': 'table', 'score': 0.98995041847229, 'bbox': [140.7306365966797, 1660.1605224609375, 1474.658447265625, 2244.106201171875]}]"
