file_path,score
sampleTables/24285_page25.png,"[{'label': 'table', 'score': 0.9990053772926331, 'bbox': [21.130624771118164, 94.34237670898438, 709.1127319335938, 565.99267578125]}]"
sampleTables/1553_page101.png,"[{'label': 'table', 'score': 0.8973757028579712, 'bbox': [21.432659149169922, 104.27595520019531, 495.3097229003906, 469.50909423828125]}]"
sampleTables/23423_page28.png,"[{'label': 'table', 'score': 0.9998618364334106, 'bbox': [77.77523040771484, 136.9958953857422, 490.5821228027344, 679.9813232421875]}]"
sampleTables/1166_page31.png,"[{'label': 'table', 'score': 0.807458758354187, 'bbox': [43.779544830322266, 290.26336669921875, 512.301025390625, 348.068603515625]}, {'label': 'table', 'score': 0.774968147277832, 'bbox': [43.604347229003906, 296.55133056640625, 513.9431762695312, 350.8330993652344]}]"
sampleTables/2344_page43.png,"[{'label': 'table rotated', 'score': 0.9950525164604187, 'bbox': [95.17491912841797, 84.76134490966797, 250.6373748779297, 578.7538452148438]}]"
sampleTables/2344_page40.png,"[{'label': 'table', 'score': 0.879179835319519, 'bbox': [36.32489013671875, 49.7545166015625, 332.23590087890625, 363.29302978515625]}]"
sampleTables/24284_page20.png,"[{'label': 'table rotated', 'score': 0.967770516872406, 'bbox': [57.96453857421875, 81.13011169433594, 497.188720703125, 563.6505126953125]}]"
sampleTables/2344_page41.png,[]
sampleTables/1312_page163.png,"[{'label': 'table', 'score': 0.8304494023323059, 'bbox': [19.69110679626465, 119.20807647705078, 495.63507080078125, 400.7703552246094]}, {'label': 'table', 'score': 0.9872012138366699, 'bbox': [18.36764907836914, 529.0736694335938, 493.8437805175781, 794.478271484375]}]"
sampleTables/23995_page26.png,"[{'label': 'table', 'score': 0.9024550914764404, 'bbox': [17.986238479614258, 556.8065185546875, 460.10577392578125, 603.2428588867188]}, {'label': 'table', 'score': 0.7528292536735535, 'bbox': [14.537779808044434, 127.15391540527344, 460.2929992675781, 199.46090698242188]}]"
sampleTables/1258_page104.png,"[{'label': 'table', 'score': 0.9518179893493652, 'bbox': [28.193273544311523, 261.2635498046875, 409.50128173828125, 400.2210998535156]}]"
