file_path,score
sampleTables/24285_page25.png,"[{'label': 'table', 'score': 0.5637807846069336, 'bbox': [17.902606964111328, 114.18494415283203, 727.2069091796875, 424.498291015625]}, {'label': 'table', 'score': 0.7422080039978027, 'bbox': [15.472867965698242, 92.71440124511719, 731.3424072265625, 466.2611083984375]}]"
sampleTables/1553_page101.png,"[{'label': 'table', 'score': 0.9872932434082031, 'bbox': [17.664941787719727, 106.41942596435547, 495.1880798339844, 471.0810241699219]}]"
sampleTables/23423_page28.png,"[{'label': 'table', 'score': 0.9994046688079834, 'bbox': [74.93036651611328, 132.21592712402344, 490.75018310546875, 683.6469116210938]}]"
sampleTables/1166_page31.png,[]
sampleTables/2344_page43.png,"[{'label': 'table', 'score': 0.4642908275127411, 'bbox': [86.36583709716797, 126.88740539550781, 257.1676940917969, 593.5885620117188]}]"
sampleTables/2344_page40.png,[]
sampleTables/24284_page20.png,"[{'label': 'table rotated', 'score': 0.9747298359870911, 'bbox': [58.33192825317383, 81.60869598388672, 505.126953125, 568.3783569335938]}]"
sampleTables/2344_page41.png,[]
sampleTables/1312_page163.png,[]
sampleTables/23995_page26.png,[]
sampleTables/1258_page104.png,"[{'label': 'table', 'score': 0.9773924946784973, 'bbox': [27.102130889892578, 247.95159912109375, 409.3617858886719, 404.87567138671875]}]"
