decade_start,water_type_clean,total_measurements,num_pages,decade_label
1800.0,Not water related,30,1,1800s
1810.0,Irrigation,12,1,1810s
1840.0,Precipitation,179,4,1840s
1840.0,Stream discharge,33,4,1840s
1850.0,Precipitation,157,4,1850s
1850.0,Stream discharge,135,2,1850s
1850.0,Groundwater,13,1,1850s
1850.0,Irrigation,6,1,1850s
1860.0,Stream discharge,331,12,1860s
1860.0,Precipitation,225,10,1860s
1860.0,Groundwater,48,5,1860s
1860.0,Reservoir,21,1,1860s
1870.0,Stream discharge,2933,72,1870s
1870.0,Precipitation,1316,32,1870s
1870.0,Groundwater,748,39,1870s
1870.0,Reservoir,513,14,1870s
1870.0,Springs,196,6,1870s
1870.0,Irrigation,179,12,1870s
1870.0,Not water related,40,1,1870s
1880.0,Stream discharge,4049,122,1880s
1880.0,Groundwater,1252,77,1880s
1880.0,Precipitation,510,17,1880s
1880.0,Springs,463,19,1880s
1880.0,Reservoir,389,23,1880s
1880.0,Irrigation,291,19,1880s
1880.0,Water quality,18,2,1880s
1890.0,Stream discharge,27919,633,1890s
1890.0,Groundwater,1364,64,1890s
1890.0,Irrigation,897,44,1890s
1890.0,Precipitation,599,17,1890s
1890.0,Reservoir,105,8,1890s
1890.0,Springs,83,4,1890s
1900.0,Stream discharge,151356,3540,1900s
1900.0,Groundwater,9440,253,1900s
1900.0,Reservoir,2707,82,1900s
1900.0,Irrigation,2134,60,1900s
1900.0,Springs,747,46,1900s
1900.0,Precipitation,681,22,1900s
1900.0,Not water related,45,3,1900s
1910.0,Stream discharge,258919,6642,1910s
1910.0,Groundwater,11782,285,1910s
1910.0,Reservoir,5108,174,1910s
1910.0,Irrigation,3804,108,1910s
1910.0,Springs,356,17,1910s
1910.0,Precipitation,352,17,1910s
1910.0,Not water related,110,5,1910s
1920.0,Stream discharge,252804,6326,1920s
1920.0,Reservoir,14083,402,1920s
1920.0,Groundwater,12529,249,1920s
1920.0,Irrigation,6251,168,1920s
1920.0,Precipitation,324,12,1920s
1920.0,Not water related,15,1,1920s
1920.0,Springs,4,1,1920s
1930.0,Stream discharge,171280,4066,1930s
1930.0,Groundwater,18026,520,1930s
1930.0,Reservoir,7360,264,1930s
1930.0,Irrigation,1439,44,1930s
1930.0,Precipitation,288,14,1930s
1930.0,Springs,55,3,1930s
1930.0,Water quality,40,1,1930s
1930.0,Not water related,29,1,1930s
1940.0,Stream discharge,171290,4181,1940s
1940.0,Groundwater,14635,579,1940s
1940.0,Reservoir,8532,228,1940s
1940.0,Springs,4770,199,1940s
1940.0,Irrigation,2729,99,1940s
1940.0,Precipitation,312,18,1940s
1940.0,Water quality,133,5,1940s
1940.0,Not water related,17,1,1940s
1950.0,Stream discharge,195151,5316,1950s
1950.0,Groundwater,13712,658,1950s
1950.0,Reservoir,9877,329,1950s
1950.0,Springs,5022,214,1950s
1950.0,Irrigation,1527,64,1950s
1950.0,Precipitation,121,10,1950s
1950.0,Not water related,104,4,1950s
1950.0,Water quality,71,2,1950s
1960.0,Stream discharge,593833,13465,1960s
1960.0,Reservoir,28775,676,1960s
1960.0,Groundwater,10713,471,1960s
1960.0,Irrigation,1861,61,1960s
1960.0,Water quality,1108,34,1960s
1960.0,Springs,739,42,1960s
1960.0,Not water related,715,25,1960s
1960.0,Precipitation,530,22,1960s
1960.0,Other,43,1,1960s
1970.0,Stream discharge,333351,7977,1970s
1970.0,Reservoir,9238,279,1970s
1970.0,Groundwater,7567,329,1970s
1970.0,Water quality,4344,116,1970s
1970.0,Precipitation,1631,57,1970s
1970.0,Irrigation,1106,40,1970s
1970.0,Not water related,951,36,1970s
1970.0,Springs,346,22,1970s
1970.0,Other,44,1,1970s
1980.0,Stream discharge,56,2,1980s
1980.0,Groundwater,22,2,1980s
