decade_end,Groundwater,Irrigation,Not water related,Other,Precipitation,Reservoir,Springs,Stream discharge,Water quality
1810s,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
1860s,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1870s,109.0,7.0,0.0,0.0,0.0,0.0,17.0,51.0,0.0
1880s,227.0,61.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0
1890s,441.0,53.0,0.0,0.0,31.0,32.0,42.0,211.0,0.0
1900s,2377.0,706.0,0.0,0.0,940.0,241.0,605.0,33211.0,0.0
1910s,15225.0,1828.0,130.0,0.0,1829.0,1504.0,633.0,194772.0,18.0
1920s,12463.0,2915.0,65.0,0.0,167.0,1766.0,41.0,129166.0,0.0
1930s,7297.0,3307.0,0.0,0.0,153.0,6645.0,26.0,167019.0,0.0
1940s,17928.0,3172.0,15.0,0.0,543.0,8647.0,372.0,171598.0,0.0
1950s,22411.0,4215.0,31.0,0.0,1078.0,9594.0,7891.0,227724.0,0.0
1960s,12744.0,2853.0,705.0,0.0,552.0,28483.0,2256.0,624816.0,624.0
1970s,10237.0,2123.0,1080.0,87.0,1932.0,21739.0,588.0,503038.0,4845.0
1980s,141.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0
